Source, Target, Weight
0, 10, 3.7598459855515363
1, 10, 0.58772428695053
2, 10, 0.6926827983537255
3, 10, 0.6907628955194327
4, 11, 0.25922949641863224
5, 10, 3.7435890167586154
6, 11, 0.1877197308111569
7, 10, 1.0293527053752265
8, 9, 1.362259733101579
9, 9, 0
10, 9, 0.0048955812212975874
11, 9, 0.5018884619595936
12, 9, 0.48209804792504785
13, 11, 0.7364351304368382
14, 11, 0.07958250981800774
